item_id,system,item,authority,status,notes
HC-KEYS,keyboard,key levers and balance/front guides,pending_measurement,estimate_class_only,"Keyboard scope, lever geometry, and materials are not specified."
HC-KEYS-RAIL,keyboard,action rail and guide test materials,pending_measurement,estimate_class_only,"Bench interface category for key-to-jack tests; rail dimensions and guide spacing are not released."
HC-JACKS,action,jacks with tongues and dampers,pending_measurement,estimate_class_only,"Jack material, guide spacing, travel, tongue reset, and damper behavior require tests."
HC-JACK-COUPON,action,single-jack mockup materials,pending_measurement,estimate_class_only,"One-jack test category only; no jack geometry or travel value is claimed."
HC-PLECTRA,action,plectra,pending_measurement,estimate_class_only,"Material, cut, voicing, and replacement method are not specified."
HC-PLECTRA-TEST,action,plectrum test and replacement supplies,pending_measurement,estimate_class_only,"Voicing and replacement support only; cut profiles and material choice require prototype evidence."
HC-REG-8,registers,8' register concept,pending_measurement,estimate_class_only,"Choir plan, stringing, and slide geometry are pending measurement."
HC-REG-4,registers,4' register concept,pending_measurement,estimate_class_only,"Choir plan, stringing, and slide geometry are pending measurement."
HC-REG-MOCKUP,registers,register-slide mockup materials,pending_measurement,estimate_class_only,"Alignment and serviceability test category; slot spacing and coupling geometry are not released."
HC-BUFF,stops,buff or lute stop concept,pending_measurement,estimate_class_only,"Contact material, actuation, and damping behavior require prototype review."
HC-BUFF-TEST,stops,buff contact coupon materials,pending_measurement,estimate_class_only,"Damping contact test category only; material dimensions and location remain pending."
HC-STRINGS,stringing,strings and hitch/tuning hardware,pending_measurement,estimate_class_only,"Wire material, gauges, scale, and tension are not specified."
HC-STRINGING-PLAN,stringing,stringing authority worksheet,concept_only,planning_only,"Document for selected reference and measured assumptions; not a stringing table."
HC-SOUNDBOARD,acoustic_body,soundboard and bridge system,pending_measurement,estimate_class_only,"Soundboard, bridge, and rib strategy are not specified."
HC-CASE,structure,case and wrestplank structure,pending_measurement,estimate_class_only,"Case structure and tuning-pin support require engineering review."
HC-SERVICE,maintenance,voicing and regulation access provisions,pending_measurement,estimate_class_only,"Service clearances and adjustment methods are not specified."
HC-LOG,documentation,test log and authority register updates,concept_only,planning_only,"Records action, register, buff stop, stringing, and safety observations without becoming fabrication authority."
